Аппроксимация многочленом: N - число экстремумов, порядок системы N+1

    N     it        L_plus_1            max_delta_1            max_delta_end    
    __    __    ________________    ____________________    ____________________

     3     6    3.29967950956734      0.0158306282354284     0.00711660918454826
     4     8    6.39051621985516     0.00195815749702966    0.000660129126579978
     5    10    10.1978155780113    0.000209188606836497    5.25646189293294e-05
     6    12    19.8465804150546    1.95685179664729e-05    3.64183596934797e-06
     7    14    33.6930083486328    1.62667077696632e-06    2.22802543525802e-07
     8    17     65.672600289318    1.21615331361014e-07    1.21561944954607e-08
     9    19    115.368328329322    8.25909829416105e-09    6.00109073545241e-10
    10    21    225.775719161385    5.14106535121073e-10    2.69984035128346e-11
    11    23    407.804281345566    2.96100921559628e-11    1.11577413974828e-12
    12    22              715.15    1.58795199212136e-12    4.36317648677687e-14


Рациональная аппроксимация: N - число экстремумов, порядок системы N+1

    N    it        L_plus_1            max_delta_1            max_delta_end    
    _    __    ________________    ____________________    ____________________

    3     5    2.28652206753444     0.00339856813527284     0.00235685332445557
    4     4    2.65457125901666    0.000159364982344368    0.000110933041667094
    5     8    5.75757912211678    1.12876570379505e-05    5.33294895876946e-06
    6     6    7.98201601606292    4.39628657700197e-07    1.85058270263383e-07
    7    10    17.1595462562185    2.29408589902391e-08    6.47220721461395e-09
    8     8    26.0664011239251    7.49799777821636e-10    1.76745396096578e-10
    9    12    55.2637164597517    3.06407121897223e-11    4.84812190393313e-12
   10    11    89.8023255813954    8.57425241918008e-13    1.09356967925578e-13
   11    1     125                 2.797762022055395e-14   -
